"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"calme-3.2-instruct-78b",0.566923318100814,7,1,38,1,1
"calme-3.1-instruct-78b",0.481934129890771,11,1,52,1,1
"CalmeRys-78B-Orpo-v0.1",0.685383971515148,5,1,28,1,1
"calme-2.4-rys-78b",0.553211387509164,8,1,38,1,1
"Qwen2.5-72B-Instruct-abli",0.761059714607048,3,1,23,1,1
"Qwen2.5-72B-Instruct",0.471730850711178,12,1,52,1,1
"calme-2.1-qwen2.5-72b",0.432753606801603,14,1,56,1,1
"Homer-v1.0-Qwen2.5-72B",0.240923346182793,25,5,75,5,1
"qwen2.5-test-32b-it",0.388802616186713,15,1,64,2,1
"Linkbricks-Horizon-AI-Ave",0.374737868110296,16,1,65,2,1
"calme-2.2-qwen2.5-72b",0.137915663738453,31,6,81,7,3
"FluentlyLM-Prinum",0.485939719853265,10,1,47,1,1
"T3Q-qwen2.5-14b-v1.0-e3",0.110981651382322,36,7,84,8,3
"T3Q-Qwen2.5-14B-Instruct-",0.152654347782889,30,6,79,7,3
"Qwen2.5-32B-Instruct-abli",0.448817879585237,13,1,56,1,1
"Gilgamesh-72B",0.533212295689127,9,1,41,1,1
"ultiima-72B",0.283708338410127,21,3,73,4,1
"zetasepic-abliteratedV2-Q",0.34156315118604,17,2,67,3,1
"Awqward2.5-32B-Instruct",0.128406068756022,34,7,81,7,3
"test-2.5-72B",0.624644262928861,6,1,33,1,1
"shuttle-3",0.239245092470782,26,5,75,5,1
"Qwen2.5-32B-Instruct",0.137403058285194,32,6,80,7,3
"Mistral-Large-Instruct-24",0.871492158692391,1,1,15,1,1
"Rombos-LLM-V2.5-Qwen-72b",0.224020611648188,27,5,76,5,1
"Linkbricks-Horizon-AI-Ave.1",0.0579010731278125,39,9,88,10,5
"Qwen2.5-72B-Instruct-abli.1",0.259936906354087,23,3,75,5,1
"Linkbricks-Horizon-AI-Ave.2",0.00901003001044476,46,10,93,13,6
"lambda-qwen2.5-32b-dpo-te",-0.00355591266997246,49,10,93,14,6
"Qwentile2.5-32B-Instruct",0.123697073976018,35,7,82,7,3
"Rombos-LLM-V2.5-Qwen-32b",0.298779484171017,19,3,71,3,1
"openbuddy-llama3.3-70b-v2",0.828188438060534,2,1,17,1,1
"Linkbricks-Horizon-AI-Ave.3",0.044167162038856,40,9,92,10,5
"huihui-ai-abliterated-Qwe",-0.196142737668404,72,19,98,22,13
"Linkbricks-Horizon-AI-Ave.4",-0.0302697199455748,54,13,95,15,7
"ultiima-32B",0.0856843004735373,37,7,86,9,5
"RYS-XLarge",0.3120966510844,18,3,69,3,1
"Qwen2.5-95B-Instruct",0.084887491712395,38,7,87,9,5
"ultiima-72B-v1.5",-0.0762407738446256,60,15,96,17,7
"sky-t1-coder-32b-flash",-0.366107509154775,82,36,100,39,22
"Llama-3.3-70B-Instruct",-0.0882720534944301,63,15,96,17,8
"RomboUltima-32B",0.0428150178512436,41,9,91,10,5
"calme-2.1-rys-78b",0.157437351755038,29,6,79,7,3
"calme-2.3-rys-78b",0.0312207012392456,42,10,92,12,6
"calme-2.1-qwen2-72b",0.246832039620021,24,4,75,5,1
"calme-2.2-rys-78b",0.0175099776062679,45,10,93,13,6
"MG-FinalMix-72B",0.136431920274467,33,6,79,7,3
"EVA-Qwen2.5-72B-v0.2",0.0311892666119493,43,10,93,10,6
"Qwen2-72B-Orpo-v0.1",-0.000800332928454939,48,11,93,13,6
"RYS-XLarge-base",-0.106428215906941,65,17,96,17,9
"calme-2.2-qwen2-72b",-0.17642599789591,71,19,97,22,13
"Arcee-Nova",-0.0930375226902052,64,15,96,17,8
"L3.3-MS-Nevoria-70b",-0.0332873850158824,55,13,95,15,7
"Set-70b",-0.00631392523640528,51,10,94,13,6
"QwentileSwap",-0.355061291618808,81,31,100,37,21
"li-14b-v0.4",-0.0120985145791916,52,12,94,14,6
"tempmotacilla-cinerea-030",-0.137309312312732,67,17,97,18,10
"L3.3-Nevoria-R1-70b",0.2632524161236,22,3,75,5,1
"Qwen2-72B-Instruct",-0.269055928893728,76,29,98,29,16
"Galactic-Qwen-14B-Exp2",-0.202767298468118,73,21,98,24,14
"BigQwen2.5-52B-Instruct",-0.796488541111894,100,77,100,78,66
"Llama-3.1-SauerkrautLM-70",-0.0771727046698567,61,15,96,16,7
"Llama-3.1-70B-Instruct",-0.0359318363608367,56,13,95,15,7
"Dracarys-72B-Instruct",-0.414827290014141,88,39,100,42,27
"Linkbricks-Horizon-AI-Ave.5",-0.688776532249619,98,72,100,76,54
"Lamarckvergence-14B",-0.213487112274105,74,21,98,24,15
"Lix-14B-v0.1",-0.454731708730084,92,40,100,48,29
"calme-2.2-llama3.1-70b",-0.17527621374759,70,18,97,22,13
"NQLSG-Qwen2.5-14B-MegaFus",-0.223449580034378,75,22,98,27,15
"calme-2.3-llama3.1-70b",-0.130965789223641,66,17,96,18,10
"NQLSG-Qwen2.5-14B-MegaFus.1",-0.456590675478912,93,42,100,50,29
"orca_mini_v8_1_70b",0.29564713967503,20,3,71,4,1
"Apollo-70B",0.749934993858307,4,1,25,1,1
"ZYH-LLM-Qwen2.5-14B-V4",-0.0675249101669397,57,15,96,16,7
"NQLSG-Qwen2.5-14B-MegaFus.2",-0.367692454487109,83,36,100,39,22
"Progenitor-V1.1-LLaMa-70B",-0.0758026068734088,59,15,96,16,7
"70B-L3.3-Cirrus-x1",-0.00503190188102565,50,10,93,13,6
"magnum-v1-72b",-0.540887649964118,96,57,100,62,37
"magnum-72b-v1",-0.508496154172883,94,54,100,57,31
"lamarckvergence-14b-tenso",-0.436009630496989,89,40,100,46,29
"li-14b-v0.4-slerp0.1",-0.636189983568856,97,67,100,70,45
"miscii-14b-0218",-0.410965731872507,87,39,100,40,27
"Cheng-2",-0.162588559931718,69,18,97,21,11
"NQLSG-Qwen2.5-14B-MegaFus.3",-0.39929547991608,86,37,100,40,24
"Llama3.3-70B-CogniLink",0.217880610957781,28,5,76,6,1
"tempesthenno-ppo-ckpt40",-0.325214617152636,79,29,100,36,18
"RYS-Llama3.1-Large",-0.0724513946747587,58,15,96,16,7
"virtuoso-small-v2-tensopo",-0.0845616358880172,62,15,96,17,8
"Cheng-2-v1.1",-0.349779642787463,80,31,100,37,20
