sample_id,model_1,model_2,model_3,model_4,model_5,model_6,description
sample_001,0.534055371406678,0.52261181312098,0.5352768007802684,0.5353493492364738,0.4912878333518494,0.526108383389335,description of sample_001
sample_002,0.617591176485205,0.465221515971805,0.5828953085384988,0.5734081253857447,0.5477273934835524,0.57288187979071,description of sample_002
sample_003,0.635857197083766,0.449597120719487,0.576927982298888,0.5757052962396467,0.53489010755328,0.554429082376407,description of sample_003
sample_004,0.608968191186953,0.524478996965577,0.5990203327696658,0.6013583343807624,0.5112114374321569,0.565524156675139,description of sample_004
sample_005,0.557917558526198,0.5723745165708,0.5442198043782027,0.5485616054178869,0.4828361669003905,0.534734608317163,description of sample_005
sample_006,0.53642953071329,0.573862991227796,0.5897151971922039,0.5865205223813553,0.5560151144265815,0.570883084509685,description of sample_006
sample_007,0.576571465371853,0.536392246999648,0.5752991935722211,0.5743144338619203,0.4881837558388517,0.551579233187011,description of sample_007
sample_008,0.596150662452485,0.560582706036476,0.5940324628574485,0.5954894489386447,0.4980713245938722,0.547581226403471,description of sample_008
sample_009,0.545466954566651,0.494820031859949,0.5732642439020836,0.5715647978962453,0.47807810993259,0.54553431708708,description of sample_009
sample_010,0.599000948629213,0.520328135452431,0.5690272173696115,0.5695478570659033,0.4822856440278212,0.554752394839718,description of sample_010
sample_011,0.563899428563727,0.562599612092554,0.5602531464539121,0.5601487140239814,0.4895300147549135,0.547861145295122,description of sample_011
sample_012,0.600668202138194,0.525468120799787,0.6087630638903053,0.6062586827306341,0.4857666720763245,0.559225047647525,description of sample_012
sample_013,0.541563524529341,0.528063140778829,0.5659018576206537,0.5697113595837193,0.5276682456269525,0.553947126152559,description of sample_013
sample_014,0.603880378234515,0.485599523677915,0.6055268828799327,0.6042077902185697,0.5528258429945595,0.576492816319326,description of sample_014
sample_015,0.551014648507963,0.512630688990701,0.5463342996851719,0.5467581751721029,0.5105478451782861,0.540848445122167,description of sample_015
sample_016,0.558928466981516,0.485999325320686,0.5872296057290952,0.5858102235152868,0.4562245707513734,0.575525241984363,description of sample_016
sample_017,0.567825552700793,0.51572185381843,0.5564015617432644,0.5650539701256216,0.4828220280118985,0.549288443426822,description of sample_017
sample_018,0.540907997613085,0.541453537679693,0.5740802344557471,0.5743908924735787,0.4874619197507357,0.541551502872092,description of sample_018
sample_019,0.501696169786887,0.487785709227373,0.548012765401988,0.5487591727634629,0.4898840058633947,0.524216124390978,description of sample_019
sample_020,0.557040418299421,0.489547518967394,0.5663581268864013,0.5663095256738916,0.5295337677714226,0.553106792105348,description of sample_020
sample_021,0.538904972778926,0.516792214102884,0.5397849993240409,0.5405599097610865,0.5267471693350643,0.534387684882466,description of sample_021
sample_022,0.585228053260457,0.511606857494892,0.6267721634945146,0.6246550557737466,0.4593984676649417,0.575776951193591,description of sample_022
sample_023,0.599445136077079,0.494730205023641,0.5675286938960526,0.5679902512542561,0.4976648992255835,0.5357022346988,description of sample_023
sample_024,0.587591920992931,0.471471249117358,0.5575339001969752,0.558149291377632,0.5146141298329309,0.537788350349518,description of sample_024
sample_025,0.557992063139526,0.505675327165004,0.5397366018063707,0.5397637957654363,0.494010880766554,0.521712123032325,description of sample_025
sample_026,0.531914763015834,0.528060113292323,0.5281621045717646,0.5278289212603602,0.5149048071427458,0.52096541510735,description of sample_026
sample_027,0.695944914753557,0.517571851309253,0.651431230267247,0.6522112891942594,0.4722938838833274,0.585601719101844,description of sample_027
sample_028,0.586471497601827,0.521153867844981,0.6230831231465573,0.6679871551382327,0.4156202213619234,0.63448996145173,description of sample_028
sample_029,0.552239534260113,0.511626424266804,0.5910748390494267,0.5886808836099429,0.4844563601093519,0.588708330895658,description of sample_029
sample_030,0.54250444156609,0.517020997972916,0.5454656825983978,0.5451605529932165,0.508890475827594,0.536508800207413,description of sample_030
sample_031,0.55186095964262,0.50620110022987,0.550216957247686,0.5490605897679914,0.4932496197934726,0.529334841035685,description of sample_031
sample_032,0.516840342944795,0.5344647248104,0.5745017745476276,0.5760943081622737,0.4996444698815867,0.57171192863832,description of sample_032
