"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"calme-3.2-instruct-78b",3.10440724216027,3,1,17,1,1
"calme-3.1-instruct-78b",2.69132174424223,9,1,21,1,1
"CalmeRys-78B-Orpo-v0.1",2.85882114796066,6,1,19,1,1
"calme-2.4-rys-78b",2.94951349785748,5,1,18,1,1
"Qwen2.5-72B-Instruct-abli",0.736599900707546,36,20,63,20,12
"Qwen2.5-72B-Instruct",0.30868680896761,44,27,69,30,19
"calme-2.1-qwen2.5-72b",-0.018431900757153,52,34,73,35,22
"Homer-v1.0-Qwen2.5-72B",3.43549192054366,1,1,11,1,1
"qwen2.5-test-32b-it",0.384472204527054,42,24,69,27,18
"Linkbricks-Horizon-AI-Ave",0.378065874832944,43,23,69,27,18
"calme-2.2-qwen2.5-72b",-0.15680174633983,57,35,78,36,23
"FluentlyLM-Prinum",1.15066743319908,33,15,49,16,10
"T3Q-qwen2.5-14b-v1.0-e3",2.8114386257871,7,1,19,1,1
"T3Q-Qwen2.5-14B-Instruct-",2.97178127586228,4,1,18,1,1
"Qwen2.5-32B-Instruct-abli",0.0698235722188478,50,33,73,34,21
"Gilgamesh-72B",1.29959722929473,29,11,46,12,7
"ultiima-72B",2.78444031097365,8,1,19,1,1
"zetasepic-abliteratedV2-Q",0.208157914604363,47,30,71,33,20
"Awqward2.5-32B-Instruct",-0.0254561601566197,54,34,73,35,22
"test-2.5-72B",1.32146153883201,27,10,45,12,7
"shuttle-3",1.86074819966557,18,4,35,6,1
"Qwen2.5-32B-Instruct",-0.286644586685367,62,36,86,36,27
"Mistral-Large-Instruct-24",2.09134105203686,15,2,35,2,1
"Rombos-LLM-V2.5-Qwen-72b",2.3260175364728,10,1,29,2,1
"Linkbricks-Horizon-AI-Ave.1",-0.286644586685352,61,36,84,36,27
"Qwen2.5-72B-Instruct-abli.1",2.19824944869498,13,2,33,2,1
"Linkbricks-Horizon-AI-Ave.2",-0.295163669355078,63,36,86,36,27
"lambda-qwen2.5-32b-dpo-te",-0.104899538750881,56,35,74,35,22
"Qwentile2.5-32B-Instruct",1.23195854861279,30,12,49,15,9
"Rombos-LLM-V2.5-Qwen-32b",2.20465667946853,12,2,32,2,1
"openbuddy-llama3.3-70b-v2",1.43083362069253,24,9,49,10,5
"Linkbricks-Horizon-AI-Ave.3",0.144846676195512,49,30,72,33,20
"huihui-ai-abliterated-Qwe",-0.0691611987365297,55,34,75,35,22
"Linkbricks-Horizon-AI-Ave.4",0.238893320604098,46,28,70,32,20
"ultiima-32B",1.48336877759324,22,10,43,10,4
